uniq_ID,foodcode,SourceCode,FOODNAME_ENGLISH,Energy_kcal,Prot_g,Fat_g,Fe_mg,Zn_mg,Folate_mcg,VitB12_mcg,VitA_IU,VitA_RAE,Phytate,fgmajor,fgminor
147,4007,12093,"SEED, JACKFRUIT (cooked nutrients)",224,4.2,1.11,1.41,0.87,54.4,0,191.9,9.5,42,LEGUME,OBEAN
148,4008,16069,"DAL, BUT'ER  WITHOUT PEEL(cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
149,4009,16087,PEANUT,567,25.8,49.24,4.58,3.27,240,0,0,0,1760,LEGUME,OBEAN
150,4009,16087,PEANUT (cooked nutrients),567,25.8,49.24,4.58,3.27,192,0,0,0,1760,LEGUME,OBEAN
151,4010,2024,"MUSTARD, RAW (cooked nutrients)",469,24.9,28.76,9.98,5.7,60.8,0,49.6,2.4,2129,LEGUME,OBEAN
152,4011,16056,CHICKPEA VARIETY (cooked nutrients),364,19.3,6.04,5.304,3.087,278.5,0,60.3,2.7,645,LEGUME,OBEAN
153,4012,11304,"SEED, FIELD BEAN (cooked nutrients)  (use 4034 ckd)",81,5.42,0.4,1.2495,1.116,32.5,0,688.5,34.2,71,LEGUME,OBEAN
154,4013,16069,"LENTIL, KHESARI (YELLOW), DRY (cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
155,4014,16069,"DAL,BUT'ER WITH PEEL (cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
156,4015,11304,BEAN SEED VARIETY (cooked nutrients),81,5.42,0.4,1.2495,1.116,32.5,0,688.5,34.2,71,LEGUME,OBEAN
157,4021,12023,SESAME SEED (cooked nutrients),573,17.73,49.67,14.55,7.75,77.6,0,7.2,0,4710,LEGUME,OBEAN
158,4024,16070,BUT'ER DAL WITH PEEL BAKED (NO OIL),116,9.02,0.38,2.61,0.94,181,0,8,0,84,LEGUME,DAL
159,4025,16390,PEANUT BAKED (NO OIL),585,23.68,49.66,2.26,3.31,145,0,0,0,1760,LEGUME,OBEAN
160,4028,12163,PUMPKIN SEEDS,446,18.55,19.4,3.31,10.3,9,0,62,3,3818,LEGUME,OBEAN
161,4033,0,"BEAN, FIELD, FRESH, BOILED  (raw=4005)",35,1.89,0.28,0.65,0.25,33,0,700,35,91,LEGUME,OBEAN
162,5000,9003,"APPLE, WITH PEEL",52,0.26,0.17,0.12,0.04,3,0,54,3,63,FRUIT,
163,5001,9004,"APPLE, WITHOUT PEEL",48,0.27,0.13,0.07,0.05,0,0,38,2,63,FRUIT,
164,5002,9040,"BANANA, WITHOUT PEEL",89,1.09,0.33,0.26,0.15,20,0,64,3,0,FRUIT,
165,5003,9181,"CANTALOUPE, WITHOUT RIND",34,0.84,0.19,0.21,0.18,21,0,3382,169,0,FRUIT,
166,5004,9132,"GRAPES, GREEN",69,0.72,0.16,0.36,0.07,2,0,66,3,63,FRUIT,
167,5005,9132,"GRAPES, PURPLE",69,0.72,0.16,0.36,0.07,2,0,66,3,63,FRUIT,
168,5006,9139,"GUAVA, RAW",68,2.55,0.95,0.26,0.23,49,0,624,31,0,FRUIT,
169,5007,9144,"JACKFRUIT, WITHOUT PEEL",94,1.47,0.3,0.6,0.42,14,0,297,15,0,FRUIT,
170,5008,9150,"LEMON, WITHOUT PEEL",29,1.1,0.3,0.6,0.06,11,0,22,1,0,FRUIT,
171,5009,9159,"LIME, WITHOUT PEEL",30,0.7,0.2,0.6,0.11,8,0,50,2,0,FRUIT,
172,5010,9176,"MANGO, RIPE, WITHOUT PEEL",65,0.51,0.27,0.13,0.04,14,0,765,38,12,FRUIT,
173,5011,9218,"ORANGE, WITHOUT PEEL",53,0.81,0.31,0.15,0.07,16,0,681,34,0,FRUIT,
174,5012,9226,"PAPAYA, RIPE, WITHOUT PEEL",39,0.61,0.14,0.1,0.07,38,0,1094,55,0,FRUIT,
175,5013,9279,BLACK BERRY (LIKE SMALL PLUM),46,0.7,0.28,0.17,0.1,5,0,345,17,0,FRUIT,
176,5014,11422,PUMPKIN (cooked nutrients),26,1,0.1,0.76,0.304,11.2,0,6645.6,332.1,0,FRUIT,
177,5015,9326,"WATERMELON, WITHOUT RIND",30,0.61,0.15,0.24,0.1,3,0,569,28,0,FRUIT,
178,5016,9164,LYCHEE,66,0.83,0.44,0.31,0.07,14,0,0,0,0,FRUIT,
179,5017,9060,STAR FRUIT,31,1.04,0.33,0.08,0.12,12,0,61,3,0,FRUIT,
180,5018,9077,"HOG PLUM, WITHOUT PEEL",76,0.4,0.3,0.36,0,0,0,40,2,63,FRUIT,
181,5019,9286,"POMEGRANATE, WITHOUT RIND",68,0.95,0.3,0.3,0.12,6,0,108,5,0,FRUIT,
182,5021,9195,"OLIVE, RAW",145,1.03,15.32,0.49,0.04,3,0,393,20,0,FRUIT,
183,5022,9111,GRAPEFRUIT,32,0.63,0.1,0.09,0.07,10,0,927,46,0,FRUIT,
184,5024,9139,WHITE LEAD ,68,2.55,0.95,0.26,0.23,49,0,624,31,0,FRUIT,
185,5025,12104,"COCONUT, RAW, FLESH (cooked nutrients)",354,3.33,33.49,2.43,1.1,20.8,0,0,0,324,FRUIT,
186,5025,12104,"COCONUT, RAW, FLESH",354,3.33,33.49,2.43,1.1,26,0,0,0,324,FRUIT,
187,5026,12119,"COCONUT, GREEN, WATER",19,0.72,0.2,0.29,0.1,3,0,0,0,3,FRUIT,
188,5028,9421,DATE,277,1.81,0.15,0.9,0.44,15,0,149,7,0,FRUIT,
189,5029,9003,WOOD APPLE,52,0.26,0.17,0.12,0.04,3,0,54,3,63,FRUIT,
190,5030,9086,CUSTARD APPLE,101,1.7,0.6,0.71,0.04,3,0,33,2,0,FRUIT,
191,5031,9077,PLUM,76,0.4,0.3,0.36,0.04,3,0,40,2,63,FRUIT,
192,5032,9277,"BANANA, UNRIPE",122,1.3,0.37,0.6,0.14,22,0,1127,56,0,FRUIT,
193,5033,1960,PALM FRUIT,12,0,0.1,0,0,1,0,1,0,13,FRUIT,
194,5034,9200,"ORANGE, WITHOUT PEEL",47,0.94,0.12,0.1,0.07,30,0,225,11,0,FRUIT,
195,5035,9322,"TAMARIND, RAW, RIPE",239,2.8,0.6,2.8,0.1,14,0,30,2,0,FRUIT,
196,5036,VZ(India),"SUGAR CANE, RAW",26,0,0,0.1,0,0,0,0,0,0,FRUIT,
197,5037,1470,"PALM FRUIT SEED, DRIED, SHELLED",203,0.6,20.2,0.2,0.1,9,0,1668,501,8,FRUIT,
198,5038,9144,"JACKFRUIT, UNRIPE",94,1.47,0.3,0.6,0.42,14,0,297,15,0,FRUIT,
199,5039,9299,DRY GRAPES (RAISINS)  (cooked nut),296,2.52,0.54,2.59,0.18,3,0,0,0,0,FRUIT,
200,5040,9040,BANANA VARIETY (LOTS OF SEEDS),89,1.09,0.33,0.26,0.15,20,0,64,3,0,FRUIT,
201,5044,9003,"JAMRUL (WHITE, STRAWBERRY SHAPED, SOUR)",52,0.26,0.17,0.12,0.04,3,0,54,3,63,FRUIT,
202,5045,190220,DATE SEEDS,261,11.9,22.6,2.1,1.5,58,0,0,0,810,FRUIT,
203,5046,11252,PUMPKIN PEEL,14,0.9,0.14,0.41,0.15,29,0,502,25,0,FRUIT,
204,5049,9145,GOLAPJAM (SAME AS 5044),60,0.72,0.23,0.19,0.04,3,0,3,0,63,FRUIT,
205,6100,11052,COWPEA FRESH (LONG GREEN BEAN) (cooked nutrients),31,1.82,0.12,1.04,0.24,37,0,690,35,91,VEG,VEGOTHER
